date,chemical,bnf_code,ods_code,gss_code,name,items,quantity,actual_cost,total_list_size
2017-10-01,Apixaban,0208020Z0,00L,E38000130,NHS North East and North Cumbria ICB - 00L,2205,95891,84369.07,324350
2017-10-01,Apixaban,0208020Z0,00N,E38000163,NHS North East and North Cumbria ICB - 00N,1629,60765,53509.69,156760
2017-10-01,Apixaban,0208020Z0,00P,E38000176,NHS North East and North Cumbria ICB - 00P,2576,93312,82185.03,284156
2017-10-01,Apixaban,0208020Z0,00Q,E38000014,NHS Lancashire and South Cumbria ICB - 00Q,484,28066,24675.15,174531
2017-10-01,Apixaban,0208020Z0,00R,E38000015,NHS Lancashire and South Cumbria ICB - 00R,997,49490,43531.14,173253
2017-10-01,Apixaban,0208020Z0,00T,E38000016,NHS Greater Manchester ICB - 00T,1767,92028,80938.88,308220
2017-10-01,Apixaban,0208020Z0,00V,E38000024,NHS Greater Manchester ICB - 00V,1368,83250,73179.71,203438
2017-10-01,Apixaban,0208020Z0,00X,E38000034,NHS Lancashire and South Cumbria ICB - 00X,940,53478,47027.78,182893
2017-10-01,Apixaban,0208020Z0,00Y,E38000135,NHS Greater Manchester ICB - 00Y,1316,71462,62838.97,253787
2017-10-01,Apixaban,0208020Z0,01A,E38000050,NHS Lancashire and South Cumbria ICB - 01A,1327,72119,63411.44,380744
2017-10-01,Apixaban,0208020Z0,01D,E38000080,NHS Greater Manchester ICB - 01D,1349,78637,69133.01,232300
2017-10-01,Apixaban,0208020Z0,01E,E38000227,NHS Lancashire and South Cumbria ICB - 01E,1001,50218,44173.68,207828
2017-10-01,Apixaban,0208020Z0,01F,E38000068,NHS Cheshire and Merseyside ICB - 01F,1148,66254,58244.92,130864
2017-10-01,Apixaban,0208020Z0,01G,E38000143,NHS Greater Manchester ICB - 01G,1496,50911,44841.78,270436
2017-10-01,Apixaban,0208020Z0,01H,E38000215,NHS North East and North Cumbria ICB - 01H,1849,98905,86954.96,323791
2017-10-01,Apixaban,0208020Z0,01J,E38000091,NHS Cheshire and Merseyside ICB - 01J,1204,67892,59691.49,164410
2017-10-01,Apixaban,0208020Z0,01K,E38000228,NHS Lancashire and South Cumbria ICB - 01K,820,41260,36281.32,350440
2017-10-01,Apixaban,0208020Z0,01T,E38000161,NHS Cheshire and Merseyside ICB - 01T,950,53492,47027.11,154335
2017-10-01,Apixaban,0208020Z0,01V,E38000170,NHS Cheshire and Merseyside ICB - 01V,1485,73381,64541.82,124735
2017-10-01,Apixaban,0208020Z0,01W,E38000174,NHS Greater Manchester ICB - 01W,2537,130424,114716.72,310932
2017-10-01,Apixaban,0208020Z0,01X,E38000172,NHS Cheshire and Merseyside ICB - 01X,1885,109500,96269.62,197319
2017-10-01,Apixaban,0208020Z0,01Y,E38000263,NHS Greater Manchester ICB - 01Y,874,48720,42844.17,214703
2017-10-01,Apixaban,0208020Z0,02A,E38000187,NHS Greater Manchester ICB - 02A,2164,91993,80966.85,241314
2017-10-01,Apixaban,0208020Z0,02E,E38000194,NHS Cheshire and Merseyside ICB - 02E,1437,88082,77423.26,217669
2017-10-01,Apixaban,0208020Z0,02G,E38000200,NHS Lancashire and South Cumbria ICB - 02G,763,41794,36752.06,113581
2017-10-01,Apixaban,0208020Z0,02H,E38000205,NHS Greater Manchester ICB - 02H,1464,96204,84562.13,326673
2017-10-01,Apixaban,0208020Z0,02M,E38000226,NHS Lancashire and South Cumbria ICB - 02M,1260,60126,52880.43,170284
2017-10-01,Apixaban,0208020Z0,02P,E38000006,NHS South Yorkshire ICB - 02P,3205,120744,106290.64,258859
2017-10-01,Apixaban,0208020Z0,02Q,E38000008,NHS Nottingham and Nottinghamshire ICB - 02Q,1420,80043,70374,116870
2017-10-01,Apixaban,0208020Z0,02T,E38000025,NHS West Yorkshire ICB - 02T,1710,68364,60183.11,220270
2017-10-01,Apixaban,0208020Z0,02X,E38000044,NHS South Yorkshire ICB - 02X,2774,152091,133711.74,319447
2017-10-01,Apixaban,0208020Z0,02Y,E38000052,NHS Humber and North Yorkshire ICB - 02Y,2180,112595,98982.97,303241
2017-10-01,Apixaban,0208020Z0,03F,E38000085,NHS Humber and North Yorkshire ICB - 03F,2598,110049,96816.43,297237
2017-10-01,Apixaban,0208020Z0,03H,E38000119,NHS Humber and North Yorkshire ICB - 03H,797,36163,31806.54,169488
2017-10-01,Apixaban,0208020Z0,03K,E38000122,NHS Humber and North Yorkshire ICB - 03K,1102,56806,49934.76,173929
2017-10-01,Apixaban,0208020Z0,03L,E38000141,NHS South Yorkshire ICB - 03L,1851,96889,85185.26,262341
2017-10-01,Apixaban,0208020Z0,03N,E38000146,NHS South Yorkshire ICB - 03N,3818,170118,149666.99,601122
2017-10-01,Apixaban,0208020Z0,03Q,E38000188,NHS Humber and North Yorkshire ICB - 03Q,2742,145335,127764.28,353746
2017-10-01,Apixaban,0208020Z0,03R,E38000190,NHS West Yorkshire ICB - 03R,2113,115900,101897.68,371577
2017-10-01,Apixaban,0208020Z0,03W,E38000051,"NHS Leicester, Leicestershire and Rutland ICB - 03W",1700,92293,81140.74,329267
2017-10-01,Apixaban,0208020Z0,04C,E38000097,"NHS Leicester, Leicestershire and Rutland ICB - 04C",1164,64608,56794.9,404006
2017-10-01,Apixaban,0208020Z0,04V,E38000201,"NHS Leicester, Leicestershire and Rutland ICB - 04V",1582,84221,74046.06,390052
2017-10-01,Apixaban,0208020Z0,04Y,E38000028,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,639,37247,32749.12,132604
2017-10-01,Apixaban,0208020Z0,05D,E38000053,NHS Staffordshire and Stoke-on-Trent ICB - 05D,858,47319,41601.5,141226
2017-10-01,Apixaban,0208020Z0,05G,E38000126,NHS Staffordshire and Stoke-on-Trent ICB - 05G,1658,94480,83056.55,218317
2017-10-01,Apixaban,0208020Z0,05Q,E38000153,NHS Staffordshire and Stoke-on-Trent ICB - 05Q,1697,74226,65320.39,212072
2017-10-01,Apixaban,0208020Z0,05V,E38000173,NHS Staffordshire and Stoke-on-Trent ICB - 05V,1084,62894,55284.86,148813
2017-10-01,Apixaban,0208020Z0,05W,E38000175,NHS Staffordshire and Stoke-on-Trent ICB - 05W,2000,109374,96165.51,289875
2017-10-01,Apixaban,0208020Z0,06H,E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,2664,136620,120087.76,946039
2017-10-01,Apixaban,0208020Z0,06K,E38000049,NHS Hertfordshire and West Essex ICB - 06K,4329,190676,167738.88,596188
2017-10-01,Apixaban,0208020Z0,06L,E38000086,NHS Suffolk and North East Essex ICB - 06L,1618,91636,80547.1,405781
