date,chemical,ccg_name,ccg_ods,total_list_size,items,actual_cost
2017-02-01,Apixaban,NHS Northumberland CCG,00L,323238,1262,46477.81
2017-02-01,Apixaban,NHS South Tyneside CCG,00N,156365,1258,43830.96
2017-02-01,Apixaban,NHS Sunderland CCG,00P,283951,1616,51271.53
2017-02-01,Apixaban,NHS Blackburn with Darwen CCG,00Q,173403,334,18119.84
2017-02-01,Apixaban,NHS Blackpool CCG,00R,172823,625,26546.22
2017-02-01,Apixaban,NHS Bolton CCG,00T,305964,1163,53803.74
2017-02-01,Apixaban,NHS Bury CCG,00V,202045,888,46764.5
2017-02-01,Apixaban,NHS Chorley and South Ribble CCG,00X,181199,705,34436.77
2017-02-01,Apixaban,NHS Oldham CCG,00Y,251660,899,43961.01
2017-02-01,Apixaban,NHS East Lancashire CCG,01A,377854,888,42436.95
2017-02-01,Apixaban,"NHS Heywood, Middleton and Rochdale CCG",01D,230092,835,41988.61
2017-02-01,Apixaban,NHS Greater Preston CCG,01E,205861,657,29054.71
2017-02-01,Apixaban,NHS Halton CCG,01F,130406,845,43694.59
2017-02-01,Apixaban,NHS Salford CCG,01G,266783,809,23696.14
2017-02-01,Apixaban,NHS North Cumbria CCG,01H,323008,1255,59176.76
2017-02-01,Apixaban,NHS Knowsley CCG,01J,163244,852,41723.15
2017-02-01,Apixaban,NHS Morecambe Bay CCG,01K,349833,560,25016.99
2017-02-01,Apixaban,NHS South Sefton CCG,01T,154779,593,30373.13
2017-02-01,Apixaban,NHS Southport and Formby CCG,01V,123979,1002,44300.8
2017-02-01,Apixaban,NHS Stockport CCG,01W,309069,1863,79761.32
2017-02-01,Apixaban,NHS St Helens CCG,01X,196305,1293,65467.02
2017-02-01,Apixaban,NHS Tameside and Glossop CCG,01Y,245804,729,35657.66
2017-02-01,Apixaban,NHS Trafford CCG,02A,239819,1403,49972.38
2017-02-01,Apixaban,NHS Warrington CCG,02E,216335,975,51422.24
2017-02-01,Apixaban,NHS West Lancashire CCG,02G,113115,505,23483.16
2017-02-01,Apixaban,NHS Wigan Borough CCG,02H,325147,960,56064.42
2017-02-01,Apixaban,NHS Fylde and Wyre CCG,02M,169527,767,31681.99
2017-02-01,Apixaban,NHS Barnsley CCG,02P,257418,2038,68736.92
2017-02-01,Apixaban,NHS Bassetlaw CCG,02Q,115648,1033,51758.57
2017-02-01,Apixaban,NHS Calderdale CCG,02T,219458,1100,37439.61
2017-02-01,Apixaban,NHS Doncaster CCG,02X,317090,2041,98192.97
2017-02-01,Apixaban,NHS East Riding of Yorkshire CCG,02Y,301587,1442,68103.09
2017-02-01,Apixaban,NHS Hull CCG,03F,295374,1681,66730.95
2017-02-01,Apixaban,NHS North East Lincolnshire CCG,03H,169001,472,19764.83
2017-02-01,Apixaban,NHS North Lincolnshire CCG,03K,172557,703,31283.69
2017-02-01,Apixaban,NHS Rotherham CCG,03L,260737,1284,58403.78
2017-02-01,Apixaban,NHS Sheffield CCG,03N,594647,2359,95969.61
2017-02-01,Apixaban,NHS Vale of York CCG,03Q,351348,1980,91540.12
2017-02-01,Apixaban,NHS Wakefield CCG,03R,368260,1341,67133.03
